WDPAID,median,upper,lower
37123,0.554,0.876,0.297
36934,0.446,0.74,0.261
7845,0.446,0.74,0.261
300915,0.645,0.832,0.373
36538,0.315,0.478,0.162
36401,0.271,0.424,0.131
36620,0.502,0.853,0.251
40853,0.579,0.798,0.428
29520,0.494,0.705,0.21
40846,0.574,0.768,0.393
26457,0.511,0.739,0.358
37124,0.472,0.82,0.322
36654,0.36,0.671,0.206
40826,0.536,0.699,0.322
303940,0.471,0.872,0.205
67970,NA,NA,NA
2327,0.29,0.811,0.063
40860,0.542,0.805,0.427
40861,0.542,0.805,0.427
36886,0.522,0.811,0.335
37125,0.396,0.561,0.171
555558303,0.359,0.782,0.144
40673,0.6,0.775,0.397
40748,0.446,0.796,0.324
40877,0.556,0.773,0.367
26505,0.478,0.828,0.305
903104,NA,NA,NA
37034,NA,NA,NA
36823,0.341,0.6,0.208
36816,0.531,0.827,0.302
4488,0.434,0.802,0.239
9264,0.413,0.822,0.234
300881,0.614,0.819,0.416
26572,0.542,0.805,0.427
37126,0.544,0.859,0.354
37128,0.475,0.808,0.322
26463,0.53,0.746,0.368
40698,0.536,0.724,0.361
40699,0.525,0.74,0.359
36670,0.344,0.615,0.209
37129,0.431,0.679,0.204
40770,0.446,0.797,0.32
40771,0.506,0.808,0.348
40772,0.451,0.797,0.31
40749,0.507,0.822,0.347
26506,0.497,0.861,0.312
2254,0.371,0.656,0.113
37130,0.334,0.511,0.184
5160,0.348,0.539,0.18
40878,0.554,0.776,0.367
37131,0.475,0.808,0.322
36865,0.42,0.709,0.238
300960,0.494,0.705,0.21
36442,0.361,0.59,0.189
40794,0.55,0.794,0.384
36435,0.32,0.51,0.194
36929,0.433,0.692,0.249
36969,0.513,0.716,0.313
37039,0.556,0.849,0.316
40773,0.512,0.824,0.357
36674,0.344,0.615,0.209
7522,0.608,0.792,0.395
36263,0.416,0.673,0.261
36239,0.377,0.709,0.188
36181,0.314,0.439,0.177
36754,0.446,0.827,0.26
300821,0.576,0.78,0.383
